dma_name,principal_city,hardness_mgl,demand_t1,demand_t2,demand_t3,demand_t4,population,median_income,hardness_source,precision_flag
"Abilene-Sweetwater, TX",Abilene,227,,,,,300050,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Albany, GA",Albany,130,,,,,382725,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Albany-Schenectady-Troy, NY",Albany,75,,,,,1438975,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Albuquerque-Santa Fe, NM",Albuquerque,180,,,,,1770125,68000,https://www.abcwua.org/your-drinking-water/,approximate
"Alexandria, LA",Alexandria,140,,,,,214275,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Alpena, MI",Alpena,120,,,,,40025,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Amarillo, TX",Amarillo,250,,,,,496975,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Atlanta, GA",Atlanta,22,,,,,6895425,88500,https://www.atlantawatershed.org/drinking-water-quality-report/,approximate
"Augusta, GA",Augusta,130,,,,,727675,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Austin, TX",Austin,184,,,,,2574500,97000,https://www.austintexas.gov/department/water-quality-reports,precise
"Bakersfield, CA",Bakersfield,68,,,,,610775,,https://dropconnect.com/water-hardness-in-california-cities/,approximate
"Baltimore, MD",Baltimore,120,,,,,2887500,98000,https://publicworks.baltimorecity.gov/water-quality,approximate
"Bangor, ME",Bangor,60,,,,,367650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Baton Rouge, LA",Baton Rouge,140,,,,,889400,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Beaumont-Port Arthur, TX",Beaumont,250,,,,,426050,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Bend, OR",Bend,70,,,,,207900,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Billings, MT",Billings,95,,,,,300300,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Biloxi-Gulfport, MS",Biloxi,115,,,,,362400,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Binghamton, NY",Binghamton,75,,,,,331725,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Birmingham (Anniston and Tuscaloosa), AL",Birmingham,55,,,,,1929650,67000,https://www.bwwb.org/water-quality,approximate
"Bluefield-Beckley-Oak Hill, WV",Bluefield,130,,,,,298325,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Boise, ID",Boise,100,,,,,863125,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Boston, MA (Manchester, NH)",Boston,15,,,,,6461150,113000,https://www.mwra.com/your-water/water-quality,approximate
"Bowling Green, KY",Bowling Green,140,,,,,233300,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Buffalo, NY",Buffalo,100,,,,,1592725,70000,https://buffalowater.org/waterquality/,approximate
"Burlington, VT-Plattsburgh, NY",Burlington,70,,,,,924600,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Butte-Bozeman, MT",Butte,95,,,,,208975,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Casper-Riverton, WY",Casper,210,,,,,142150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",Cedar Rapids,130,,,,,910325,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Champaign & Springfield-Decatur, IL",Champaign & Springfield,120,,,,,928800,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Charleston, SC",Charleston,130,,,,,999900,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Charleston-Huntington, WV",Charleston,130,,,,,1055400,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Charlotte, NC",Charlotte,13,,,,,3455050,80000,https://www.charlottenc.gov/water/Water-Quality,precise
"Charlottesville, VA",Charlottesville,120,,,,,248150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Chattanooga, TN",Chattanooga,130,,,,,978425,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Cheyenne, WY-Scottsbluff, NE",Cheyenne,210,,,,,152375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Chicago, IL",Chicago,145,,,,,9136875,87000,https://www.chicago.gov/city/en/depts/water/supp_info/water_quality_resultsandreports.html,approximate
"Chico-Redding, CA",Chico,120,,,,,470800,,https://dropconnect.com/water-hardness-in-california-cities/,approximate
"Cincinnati, OH",Cincinnati,130,,,,,2396575,78000,https://www.cincinnati-oh.gov/water/water-quality/,approximate
"Clarksburg-Weston, WV",Clarksburg,130,,,,,252800,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Cleveland-Akron (Canton), OH",Cleveland,120,,,,,3885850,68500,https://www.clevelandwater.com/your-water/water-quality,approximate
"Colorado Springs-Pueblo, CO",Colorado Springs,185,,,,,971825,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Columbia, SC",Columbia,130,,,,,1126100,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Columbia-Jefferson City, MO",Columbia,200,,,,,475925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Columbus, GA",Columbus,130,,,,,586125,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Columbus, OH",Columbus,120,,,,,2545975,78000,https://www.columbus.gov/utilities/water-quality/,approximate
"Columbus-Tupelo-West Point, MS",Columbus,115,,,,,477375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Corpus Christi, TX",Corpus Christi,163,,,,,524450,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Dallas-Ft. Worth, TX",Dallas,140,,,,,8161225,88000,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Davenport, IA-Rock Island-Moline, IL",Davenport,130,,,,,762100,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Dayton, OH",Dayton,130,,,,,1245500,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Denver, CO",Denver,90,,,,,4515675,103000,https://www.denverwater.org/your-water/water-quality/water-hardness,precise
"Des Moines-Ames, IA",Des Moines,130,,,,,1201375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Detroit, MI",Detroit,100,,,,,4851875,70500,https://dropconnect.com/water-hardness-in-michigan-cities/,approximate
"Dothan, AL",Dothan,150,,,,,271925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Duluth, MN-Superior, WI",Duluth,50,,,,,449275,,https://www.duluthmn.gov/public-works-utilities/utilities/water/,approximate
